ts,model,label,dataset,engine,unparsable,n_error,n_input_error,thinking,max_tokens,limit,smoke,n,n_pos_gold,n_pred_unsafe,precision,recall,f1,n_missing
2026-09-24 15:41:03,sing-guard-2b,SingGuard-2B,vlguard,vllm,0,0,0,fast,1024,,False,1000,442,444,0.9527,0.957,0.9549,0
2026-09-24 15:42:01,sing-guard-2b,SingGuard-2B,jailbreakv,vllm,0,0,0,fast,1024,,False,1000,1000,844,1.0,0.844,0.9154,0
2026-09-24 15:42:32,sing-guard-2b,SingGuard-2B,spa-vl,vllm,0,0,0,fast,1024,,False,530,265,485,0.5381,0.9849,0.696,0
2026-09-24 15:44:50,sing-guard-2b,SingGuard-2B,vlsbench,vllm,0,0,0,fast,1024,,False,1000,1000,978,1.0,0.978,0.9889,0
2026-09-24 15:46:19,sing-guard-2b,SingGuard-2B,mm-safety,vllm,0,0,0,fast,1024,,False,758,758,690,1.0,0.9103,0.953,0
2026-09-24 15:49:17,sing-guard-2b,SingGuard-2B,beavertails-v,vllm,0,0,0,fast,1024,,False,1000,372,421,0.7601,0.8602,0.8071,0
2026-09-24 15:55:52,sing-guard-2b,SingGuard-2B,mmds-q-pool,vllm,5,1,0,fast,1024,,False,1000,314,446,0.6435,0.914,0.7553,0
2026-09-24 16:02:18,sing-guard-2b,SingGuard-2B,mmds-r-pool,vllm,3,3,0,fast,1024,,False,1000,255,349,0.6304,0.8627,0.7285,0
2026-09-24 16:19:21,sing-guard-8b,SingGuard-8B,mmds-q-pool,vllm,1,1,0,fast,1024,,False,1000,314,463,0.6479,0.9554,0.7722,0
2026-09-24 16:35:35,sing-guard-8b,SingGuard-8B,mmds-r-pool,vllm,3,3,0,fast,1024,,False,1000,255,347,0.6254,0.851,0.7209,0
2026-09-24 17:07:44,sing-guard-8b,SingGuard-8B,mmds-q-int-pool,vllm,1,1,0,fast,1024,,False,1000,314,449,0.6481,0.9268,0.7628,0
2026-09-24 17:13:47,sing-guard-8b,SingGuard-8B,mmds-q-pool,vllm,2,2,0,fast,1024,,False,1000,314,426,0.6761,0.9172,0.7784,0
2026-09-24 17:24:03,sing-guard-8b,SingGuard-8B,mmds-r-int-pool,vllm,3,3,0,fast,1024,,False,1000,255,354,0.6356,0.8824,0.7389,0
2026-09-24 17:32:51,sing-guard-8b,SingGuard-8B,mmds-r-pool,vllm,4,4,0,fast,1024,,False,1000,255,316,0.6424,0.7961,0.711,0
2026-09-24 17:42:10,sing-guard-8b,SingGuard-8B,mmds-q2-pool,vllm,1,1,0,fast,1024,,False,1000,314,394,0.7081,0.8885,0.7881,0
2026-09-24 18:00:58,sing-guard-8b,SingGuard-8B,mmds-r2-pool,vllm,3,3,0,fast,1024,,False,1000,255,306,0.6536,0.7843,0.713,0
2026-09-24 18:14:11,sing-guard-8b,SingGuard-8B,mmds-q,vllm,1,1,0,fast,1024,,False,330,170,156,1.0,0.9176,0.9571,0
2026-09-24 18:21:18,sing-guard-8b,SingGuard-8B,mmds-r,vllm,1,1,0,fast,1024,,False,327,129,109,0.9725,0.8217,0.8908,0
2026-09-24 18:26:37,sing-guard-8b,SingGuard-8B,mmds-q2,vllm,0,0,0,fast,1024,,False,330,170,146,1.0,0.8588,0.9241,0
2026-09-24 18:34:02,sing-guard-8b,SingGuard-8B,mmds-r2,vllm,1,1,0,fast,1024,,False,330,129,96,0.9792,0.7287,0.8356,0
2026-09-24 18:38:50,sing-guard-2b,SingGuard-2B,mmds-q,vllm,1,1,0,fast,1024,,False,330,170,152,0.9934,0.8882,0.9379,0
2026-09-24 18:41:30,sing-guard-2b,SingGuard-2B,mmds-r,vllm,1,1,0,fast,1024,,False,327,129,125,0.944,0.9147,0.9291,0
